"flight_time","altitude","pressure","temperature","RH","dewp","mixingRatio","windDirection","windSpeed","latitude","longitude","range","azimuth","theta"
0,0,978.56,21.01,60.3,13.04,9.7,124,1.3,41.59,1.031,0,0,22.8351728458739
1,2,978.31,20.97,60.4,13.03,9.69,123.5,1.36,41.59,1.031,22,344,22.81650651118
2,5,978.01,20.93,60.43,13.01,9.68,123.09,1.45,41.59,1.031,36,343,22.8021594480908
3,8,977.7,20.93,60.38,12.99,9.67,122.78,1.54,41.59,1.031,44,342,22.8289377088211
4,11,977.36,20.92,60.39,12.99,9.67,122.56,1.64,41.59,1.031,48,342,22.8482543949057
5,14,976.99,20.9,60.6,13.02,9.7,122.39,1.74,41.59,1.031,51,342,22.8601097307881
6,17,976.6,20.87,60.9,13.06,9.73,122.25,1.83,41.59,1.031,55,343,22.8636386499929
7,21,976.2,20.85,61.03,13.08,9.74,122.16,1.92,41.59,1.031,58,343,22.8781124130473
8,24,975.8,20.87,60.91,13.07,9.74,122.12,1.99,41.59,1.031,60,342,22.9328803444031
9,28,975.41,20.91,60.61,13.03,9.72,122.11,2.06,41.59,1.031,63,340,23.0069473734184
10,31,975.01,20.97,60.24,12.99,9.7,122.15,2.13,41.59,1.031,65,337,23.1020530530668
11,35,974.6,21.02,59.93,12.96,9.68,122.23,2.18,41.59,1.031,67,334,23.1879852925281
12,39,974.17,21.07,59.64,12.93,9.67,122.35,2.22,41.59,1.031,70,331,23.2756857043851
13,43,973.7,21.19,59.17,12.92,9.67,122.53,2.25,41.59,1.031,73,329,23.4374308562637
14,47,973.25,21.38,58.41,12.91,9.66,122.76,2.27,41.59,1.031,77,328,23.6680380515349
15,51,972.81,21.62,57.53,12.9,9.66,123.05,2.28,41.59,1.031,80,327,23.9482425095391
16,55,972.38,21.84,56.77,12.9,9.67,123.41,2.28,41.59,1.031,82,327,24.2074983721225
17,59,971.95,21.97,56.27,12.89,9.66,123.83,2.27,41.59,1.031,84,326,24.3760977788219
18,62,971.54,22.05,55.93,12.86,9.65,124.33,2.25,41.59,1.031,85,325,24.4925888957308
19,66,971.14,22.11,55.64,12.85,9.65,124.91,2.22,41.59,1.031,86,325,24.5880759697837
20,70,970.74,22.18,55.36,12.83,9.64,125.58,2.18,41.59,1.031,89,324,24.6936809131709
21,73,970.32,22.24,55.11,12.82,9.63,126.35,2.13,41.59,1.031,92,323,24.7909873554389
22,77,969.89,22.26,54.92,12.78,9.62,127.23,2.08,41.59,1.03,95,322,24.8488556888335
23,81,969.46,22.27,54.79,12.76,9.61,128.22,2.02,41.59,1.03,98,322,24.8966617032085
24,85,969.02,22.28,54.69,12.74,9.6,129.33,1.95,41.59,1.03,101,322,24.9453697401838
25,89,968.59,22.29,54.57,12.72,9.59,130.57,1.88,41.59,1.03,104,322,24.9932244391908
26,93,968.16,22.28,54.42,12.66,9.56,131.95,1.81,41.59,1.03,105,322,25.0209176972581
27,96,967.74,22.26,54.29,12.61,9.53,133.48,1.73,41.59,1.03,106,322,25.0376565144098
28,100,967.33,22.25,54.23,12.58,9.52,135.17,1.65,41.59,1.03,107,322,25.0636263606597
29,104,966.89,22.25,54.29,12.61,9.53,137.01,1.58,41.591,1.03,107,322,25.1023509177159
30,108,966.43,22.26,54.47,12.66,9.58,139.02,1.5,41.591,1.03,108,322,25.1529578391505
31,112,965.98,22.26,54.65,12.71,9.61,141.18,1.43,41.591,1.03,109,322,25.1926115315587
32,116,965.56,22.25,54.78,12.74,9.63,143.49,1.36,41.591,1.03,111,322,25.2195425472072
33,120,965.16,22.23,54.93,12.76,9.65,145.95,1.28,41.591,1.03,113,323,25.2346253012255
34,123,964.79,22.21,55.09,12.78,9.67,148.57,1.22,41.591,1.03,115,323,25.2470739084461
35,126,964.46,22.19,55.23,12.81,9.69,151.32,1.15,41.591,1.03,117,324,25.2560019633844
36,129,964.15,22.17,55.37,12.83,9.71,154.18,1.09,41.591,1.03,119,324,25.2631721865307
37,132,963.83,22.16,55.58,12.88,9.74,157.14,1.03,41.591,1.03,121,324,25.2813393652149
38,135,963.51,22.16,55.89,12.96,9.8,160.2,0.97,41.591,1.03,122,325,25.3096233515916
39,137,963.2,22.16,56.19,13.05,9.86,163.35,0.92,41.591,1.03,123,326,25.337034980258
40,140,962.9,22.17,56.36,13.09,9.89,166.62,0.86,41.591,1.03,124,326,25.3736816440119
41,143,962.6,22.16,56.43,13.11,9.9,170.01,0.81,41.591,1.03,123,327,25.3901219744399
42,145,962.31,22.15,56.43,13.1,9.9,173.55,0.76,41.591,1.03,122,327,25.4056856876577
43,148,962.06,22.14,56.42,13.08,9.89,177.27,0.71,41.591,1.03,122,327,25.4177146485475
44,150,961.82,22.11,56.47,13.07,9.89,181.16,0.67,41.591,1.03,123,327,25.4086400899006
45,152,961.55,22.08,56.58,13.07,9.89,185.25,0.62,41.591,1.03,124,327,25.402226397307
46,155,961.23,22.06,56.67,13.08,9.9,189.59,0.57,41.591,1.03,126,327,25.4103619669165
47,158,960.9,22.04,56.69,13.07,9.89,194.29,0.53,41.591,1.03,127,327,25.4193926161887
48,161,960.58,22.03,56.69,13.06,9.89,199.5,0.49,41.591,1.03,128,327,25.4376605457564
49,164,960.25,22.02,56.71,13.05,9.89,205.39,0.45,41.591,1.03,129,327,25.4568262041818
50,167,959.9,22,56.75,13.04,9.89,212.1,0.41,41.591,1.03,130,328,25.4676610797842
51,171,959.53,21.98,56.76,13.03,9.88,219.72,0.38,41.591,1.03,130,328,25.4802827601662
52,174,959.16,21.96,56.73,13,9.87,228.23,0.35,41.591,1.03,129,329,25.4929162759441
53,177,958.82,21.94,56.72,12.99,9.86,237.48,0.34,41.591,1.03,128,329,25.502894695984
54,180,958.5,21.93,56.77,12.99,9.87,247.11,0.33,41.591,1.03,127,329,25.5212259070782
55,183,958.19,21.92,56.88,13,9.88,256.62,0.33,41.591,1.03,126,329,25.5386777418625
56,186,957.86,21.89,57.03,13.02,9.89,265.52,0.33,41.591,1.03,126,329,25.5376719218058
57,189,957.52,21.87,57.14,13.03,9.9,273.43,0.34,41.591,1.03,125,329,25.5476880610474
58,192,957.19,21.85,57.22,13.03,9.91,280.23,0.36,41.591,1.03,125,329,25.5568232688005
59,195,956.88,21.84,57.31,13.04,9.92,285.89,0.38,41.591,1.03,125,329,25.5743121873509
60,197,956.58,21.82,57.43,13.06,9.93,290.48,0.39,41.591,1.03,124,329,25.5807919246524
61,200,956.26,21.8,57.53,13.07,9.94,294.08,0.41,41.591,1.03,123,329,25.5890619906483
62,203,955.94,21.78,57.56,13.06,9.94,296.81,0.43,41.591,1.03,121,329,25.5973404598301
63,206,955.6,21.77,57.52,13.04,9.93,298.76,0.45,41.591,1.03,120,329,25.6175423165535
64,209,955.28,21.77,57.45,13.02,9.92,300.02,0.47,41.591,1.03,119,329,25.6461020863897
65,212,954.97,21.77,57.4,13,9.91,300.64,0.48,41.591,1.03,117,329,25.6737810927872
66,215,954.67,21.76,57.36,12.98,9.91,300.66,0.49,41.591,1.03,116,329,25.690444950736
67,217,954.39,21.76,57.3,12.97,9.9,300.12,0.5,41.591,1.03,115,329,25.7154645284092
68,220,954.12,21.76,57.16,12.93,9.87,299.06,0.51,41.591,1.03,114,328,25.7395994870969
69,222,953.86,21.76,56.88,12.86,9.83,297.49,0.52,41.591,1.03,113,328,25.7628488571791
70,225,953.59,21.77,56.51,12.77,9.78,295.44,0.52,41.591,1.03,112,328,25.7971376074156
71,227,953.3,21.8,56.12,12.69,9.73,292.94,0.53,41.591,1.03,112,328,25.8535018226134
72,230,952.99,21.84,55.73,12.62,9.69,290.02,0.53,41.591,1.03,113,328,25.9218110672838
73,233,952.68,21.9,55.33,12.57,9.65,286.74,0.54,41.591,1.03,113,328,26.0104180765032
74,235,952.41,21.96,55.01,12.53,9.63,283.17,0.55,41.591,1.03,113,328,26.0954610228106
75,238,952.16,21.99,54.79,12.5,9.62,279.41,0.56,41.591,1.03,113,328,26.1483055215816
76,240,951.9,22.01,54.65,12.48,9.61,275.54,0.58,41.591,1.03,113,328,26.1919179815287
77,242,951.64,22.02,54.55,12.46,9.6,271.64,0.59,41.591,1.03,112,328,26.2253993226316
78,245,951.39,22.01,54.49,12.44,9.58,267.79,0.61,41.591,1.03,112,329,26.2377057981912
79,247,951.12,22,54.45,12.41,9.57,264.02,0.63,41.591,1.03,111,329,26.2518151257325
80,250,950.83,21.99,54.41,12.39,9.56,260.35,0.66,41.591,1.031,111,330,26.2677290938759
81,252,950.52,21.97,54.37,12.36,9.55,256.83,0.68,41.591,1.031,110,331,26.2753037562625
82,255,950.21,21.95,54.35,12.34,9.53,253.48,0.71,41.591,1.031,110,331,26.2828863248848
83,258,949.92,21.93,54.36,12.33,9.53,250.3,0.74,41.591,1.031,110,332,26.2886774765574
84,260,949.67,21.93,54.38,12.33,9.53,247.3,0.77,41.591,1.031,111,332,26.3111725963092
85,263,949.42,21.94,54.39,12.34,9.54,244.45,0.8,41.591,1.031,111,333,26.3438245659224
86,265,949.17,21.95,54.34,12.34,9.54,241.74,0.83,41.591,1.031,112,333,26.3764856790321
87,267,948.92,21.96,54.2,12.31,9.53,239.15,0.86,41.591,1.031,112,333,26.4091559409997
88,270,948.65,21.97,54.01,12.26,9.5,236.66,0.89,41.591,1.031,111,334,26.4436379791428
89,272,948.37,21.97,53.83,12.21,9.47,234.22,0.91,41.591,1.031,110,334,26.4688798168891
90,275,948.09,21.98,53.72,12.19,9.46,231.82,0.94,41.591,1.031,110,335,26.504284533902
91,277,947.8,21.97,53.71,12.18,9.46,229.42,0.96,41.591,1.031,110,335,26.5202945987984
92,280,947.5,21.96,53.76,12.18,9.46,227.02,0.98,41.591,1.031,110,336,26.5372158751405
93,283,947.19,21.94,53.81,12.18,9.46,224.61,1,41.591,1.031,110,337,26.5448933293552
94,286,946.89,21.93,53.81,12.17,9.46,222.19,1.02,41.591,1.031,111,337,26.5618324040594
95,288,946.6,21.91,53.83,12.16,9.46,219.73,1.03,41.591,1.031,111,338,26.5677191359606
96,291,946.33,21.89,53.85,12.15,9.45,217.23,1.04,41.591,1.031,112,339,26.571804771642
97,293,946.07,21.88,53.8,12.12,9.44,214.65,1.05,41.591,1.031,113,340,26.5851513460042
98,296,945.78,21.88,53.71,12.09,9.42,211.98,1.06,41.591,1.031,113,340,26.6113785469716
99,299,945.47,21.86,53.64,12.06,9.4,209.2,1.06,41.591,1.031,115,341,26.6191033137439
100,302,945.15,21.84,53.67,12.05,9.4,206.28,1.06,41.591,1.031,116,341,26.6277413101618
101,305,944.83,21.82,53.77,12.06,9.41,203.23,1.06,41.591,1.031,117,341,26.6363879850991
102,308,944.51,21.81,53.86,12.07,9.42,200,1.05,41.591,1.031,119,342,26.6552076123495
103,311,944.18,21.8,53.86,12.06,9.42,196.59,1.05,41.591,1.031,120,342,26.6749441818817
104,313,943.87,21.8,53.81,12.05,9.41,192.98,1.04,41.591,1.031,120,342,26.7030450853855
105,316,943.6,21.8,53.77,12.04,9.41,189.13,1.03,41.591,1.031,121,342,26.727529733578
106,318,943.34,21.8,53.76,12.03,9.41,185.02,1.02,41.591,1.031,122,343,26.7511160558198
107,321,943.06,21.79,53.72,12.02,9.4,180.63,1.01,41.591,1.031,123,344,26.7663573329399
108,324,942.74,21.79,53.63,11.99,9.39,175.96,1,41.591,1.031,125,344,26.7954082268885
109,327,942.4,21.79,53.52,11.96,9.37,171.01,0.99,41.591,1.031,126,344,26.8262886932528
110,330,942.07,21.78,53.45,11.93,9.36,165.8,0.99,41.591,1.031,127,345,26.84610283576
111,333,941.77,21.77,53.44,11.91,9.35,160.4,1,41.591,1.031,129,345,26.8632008552913
112,335,941.49,21.75,53.47,11.9,9.35,154.9,1.01,41.591,1.031,130,345,26.8683156156801
113,338,941.21,21.72,53.5,11.89,9.34,149.38,1.03,41.591,1.031,131,345,26.8632622320238
114,341,940.9,21.7,53.45,11.85,9.32,143.97,1.05,41.591,1.031,131,345,26.8711187700777
115,344,940.56,21.69,53.32,11.81,9.3,138.74,1.09,41.591,1.031,132,345,26.8918910184636
116,347,940.21,21.71,53.11,11.77,9.27,133.8,1.13,41.591,1.031,133,345,26.9441189208147
117,350,939.88,21.74,52.87,11.73,9.25,129.22,1.18,41.591,1.031,135,345,27.0047220983854
118,353,939.55,21.77,52.65,11.69,9.23,125.03,1.24,41.591,1.031,136,344,27.0653449700778
119,356,939.23,21.78,52.46,11.65,9.21,121.28,1.3,41.591,1.031,137,343,27.1047140277926
120,359,938.91,21.8,52.25,11.6,9.19,117.96,1.36,41.591,1.031,138,342,27.1542793832267
121,362,938.58,21.85,51.93,11.56,9.16,115.06,1.44,41.591,1.031,139,341,27.2353224585881
122,365,938.27,21.92,51.48,11.49,9.12,112.55,1.51,41.591,1.031,140,341,27.334928488607
123,368,937.96,22,50.91,11.4,9.07,110.4,1.58,41.591,1.031,141,340,27.444744469215
